video_id,neg,neu,pos,total_tokens,chunk_count
nyIWIRKHv5E,-1.59961887,0.64707637,0.96297791,1085,3
2eD6Uc4Gevs,-2.81860590,-0.15906237,3.47956777,260,1
YG1kxZU79Hc,-0.14516998,0.81879018,-0.91310647,1059,3
zyBtSrdweVc,-1.04532802,0.86639833,0.05591782,1310,3
6AURLdlPWWs,-0.60531135,0.54344199,-0.06419721,1014,2
7fzl5Y58LjI,-0.58561877,1.02887913,-0.72913183,1033,3
venW2ZZI0t4,-1.88385192,0.69518860,1.14135968,1079,3
z3a8tTPNIsg,-2.52159305,0.46747377,2.18044599,660,2
_JiUcEhCFMc,-0.54683152,0.61661739,-0.26026515,4691,10
lFHmN_UepAA,-0.96708941,0.70680881,0.00457011,381,1
sNzvF202ZPc,-0.76208677,0.65218845,-0.07058745,2322,5
M3NyDAJ2i2M,-0.74888244,0.81046001,-0.21555951,1436,3
WcS73keDiDs,-0.66621359,0.67101346,-0.12546185,1582,4
ICUGsUr9pps,-0.08001460,0.50005277,-0.61561147,1806,4
uz_GtOL-zdc,0.21886302,0.67359272,-1.13341346,1210,3
0CaLkLA-nJ4,0.09370973,0.59876003,-0.87799988,895,2
FRQlGPtTrtw,-0.97665300,0.72927507,0.07703380,6879,14
zGULLSAi6Lg,0.34457588,0.60932684,-1.20881665,503,1
7Eb3VeBEzeM,0.09992541,0.75426251,-1.09933267,1475,3
xI93hzumZlc,-2.58186882,0.76400245,1.85774591,805,2
efFA2s1tyoA,-1.12290154,0.85423041,0.14133069,6379,13
1ZbItLl4ed4,-0.90659986,1.01391308,-0.29321130,1231,3
p3Ivt4JiTJ0,-2.16389166,0.54331528,1.72171809,670,2
Kc8WS76tqOo,-2.51308133,0.57499068,2.09279680,996,2
P9ZYbdai1Wk,-0.71186159,0.57556021,-0.07583124,988,2
yFUwt9Oj6HA,-1.30764329,0.64350420,0.60799201,1793,4
4c_43JnapOo,-0.86234194,0.77529490,-0.11486424,1578,4
zkxeh8NKPxg,0.66128619,0.65086656,-1.56559419,2494,5
47HA1dhi0pA,-1.98058173,0.82292084,1.09726008,1265,3
kTiLPJWGJV4,1.36773431,0.46770674,-2.10893226,114,1
4dYhq-57MIA,-0.61568184,0.59238795,-0.14180912,1087,3
wQREJnYu7gA,-2.78256536,0.52222097,2.39668703,148,1
TjqJcH41fHo,-0.74931161,0.57388086,0.10431592,1339,3
ig91zcvLU4M,-1.28892248,0.89394096,0.20086097,1018,2
Psn-NROz0WM,-2.60581636,-0.09801753,3.17157745,108,1
AZBNrHHcbPM,-1.51310945,0.63166902,0.89689216,4882,10
wv5URd-L7m8,-1.53850086,0.88343339,0.52751623,5413,11
